dataset,query_id,cost20,dense,sparse,full_top20_matches_old,full_top100_matches_old,dense_prefix_mismatches,sparse_prefix_mismatches,independent_checks,seconds,provenance
trec-covid,12,24910,18095,6815,True,True,0,0,16,0.2366759777069091,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,15,40250,19783,20467,True,True,0,0,10,0.373539924621582,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,16,85178,83051,2127,True,True,0,0,15,0.7802600860595703,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,18,7987,5011,2976,True,True,0,2,20,0.0946171283721923,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,2,10057,4020,6037,True,True,0,0,18,0.1035578250885009,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,26,14899,8231,6668,True,True,0,0,12,0.143578290939331,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,27,7362,1349,6013,True,True,0,0,13,0.079291820526123,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,3,12648,4312,8336,True,True,0,2,18,0.1268739700317382,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,31,10118,1777,8341,True,True,0,3,20,0.1052610874176025,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,32,43736,26618,17118,True,True,0,2,11,0.4098351001739502,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,34,56363,15437,40926,True,True,0,4,15,0.5356779098510742,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,47,32858,22233,10625,True,True,0,2,17,0.3180170059204101,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,49,91290,1800,89490,True,True,0,4,20,0.8505778312683105,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,50,15095,14520,575,True,True,0,4,20,0.1539556980133056,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,6,9316,8373,943,True,True,0,0,19,0.0956561565399169,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
trec-covid,8,11993,6590,5403,True,True,0,2,20,0.1248650550842285,Reconstructed complete rankings; sparse accumulation in original term-id order. Not a claim of identity with frozen segment-specific arithmetic.
