dataset,snapshot,query_id,policy,batch,accesses,dense,sparse,before,k
nfcorpus,0,PLAIN-1008,balanced,1,16,15,1,14,15
nfcorpus,0,PLAIN-1008,balanced,1,17,16,1,15,16
nfcorpus,0,PLAIN-1008,balanced,1,18,17,1,16,17
nfcorpus,0,PLAIN-1008,balanced,1,19,18,1,17,18
nfcorpus,0,PLAIN-1008,balanced,1,20,19,1,18,19
nfcorpus,0,PLAIN-1008,balanced,1,21,20,1,19,20
nfcorpus,0,PLAIN-1008,balanced,1,22,21,1,20,21
nfcorpus,0,PLAIN-1008,balanced,1,23,22,1,21,22
nfcorpus,0,PLAIN-1008,balanced,1,24,23,1,22,23
nfcorpus,0,PLAIN-1008,balanced,1,25,24,1,23,24
nfcorpus,0,PLAIN-1008,balanced,1,26,25,1,24,25
nfcorpus,0,PLAIN-1008,balanced,1,27,26,1,25,26
nfcorpus,0,PLAIN-1008,balanced,1,28,27,1,26,27
nfcorpus,0,PLAIN-1008,balanced,1,29,28,1,27,28
nfcorpus,0,PLAIN-1008,balanced,1,30,29,1,28,29
nfcorpus,0,PLAIN-1008,balanced,1,31,30,1,29,30
nfcorpus,0,PLAIN-1008,balanced,1,32,31,1,30,31
nfcorpus,0,PLAIN-1008,balanced,1,33,32,1,31,32
nfcorpus,0,PLAIN-1008,balanced,1,34,33,1,32,33
nfcorpus,0,PLAIN-1008,balanced,1,35,34,1,33,34
nfcorpus,0,PLAIN-1008,balanced,1,36,35,1,34,35
nfcorpus,0,PLAIN-1008,balanced,1,37,36,1,35,36
nfcorpus,0,PLAIN-1008,balanced,1,38,37,1,36,37
nfcorpus,0,PLAIN-1008,balanced,1,39,38,1,37,38
nfcorpus,0,PLAIN-1008,balanced,1,40,39,1,38,39
nfcorpus,0,PLAIN-1008,balanced,1,41,40,1,39,40
nfcorpus,0,PLAIN-1008,balanced,1,42,41,1,40,41
nfcorpus,0,PLAIN-1008,balanced,1,43,42,1,41,42
nfcorpus,0,PLAIN-1008,balanced,1,44,43,1,42,43
nfcorpus,0,PLAIN-1008,balanced,1,45,44,1,43,44
nfcorpus,0,PLAIN-1008,balanced,1,46,45,1,44,45
nfcorpus,0,PLAIN-1008,balanced,1,47,46,1,45,46
nfcorpus,0,PLAIN-1008,balanced,1,48,47,1,46,47
nfcorpus,0,PLAIN-1008,balanced,1,49,48,1,47,48
nfcorpus,0,PLAIN-1008,balanced,1,50,49,1,48,49
nfcorpus,0,PLAIN-1008,balanced,1,51,50,1,49,50
nfcorpus,0,PLAIN-1008,balanced,1,52,51,1,50,51
nfcorpus,0,PLAIN-1008,balanced,1,53,52,1,51,52
nfcorpus,0,PLAIN-1008,balanced,1,54,53,1,52,53
nfcorpus,0,PLAIN-1008,balanced,1,55,54,1,53,54
nfcorpus,0,PLAIN-1008,balanced,1,56,55,1,54,55
nfcorpus,0,PLAIN-1008,balanced,1,57,56,1,55,56
nfcorpus,0,PLAIN-1008,balanced,1,58,57,1,56,57
nfcorpus,0,PLAIN-1008,balanced,1,59,58,1,57,58
nfcorpus,0,PLAIN-1008,balanced,1,60,59,1,58,59
nfcorpus,0,PLAIN-1008,balanced,1,61,60,1,59,60
nfcorpus,0,PLAIN-1008,balanced,1,62,61,1,60,61
nfcorpus,0,PLAIN-1008,balanced,1,63,62,1,61,62
nfcorpus,0,PLAIN-1008,balanced,1,64,63,1,62,63
nfcorpus,0,PLAIN-1008,balanced,1,65,64,1,63,64
nfcorpus,0,PLAIN-1008,balanced,1,66,65,1,64,65
nfcorpus,0,PLAIN-1008,balanced,1,67,66,1,65,66
nfcorpus,0,PLAIN-1008,balanced,1,68,67,1,66,67
nfcorpus,0,PLAIN-1008,balanced,1,69,68,1,67,68
nfcorpus,0,PLAIN-1008,balanced,1,70,69,1,68,69
nfcorpus,0,PLAIN-1008,balanced,1,71,70,1,69,70
nfcorpus,0,PLAIN-1008,balanced,1,72,71,1,70,71
nfcorpus,0,PLAIN-1008,balanced,1,73,72,1,71,72
nfcorpus,0,PLAIN-1008,balanced,1,74,73,1,72,73
nfcorpus,0,PLAIN-1008,balanced,1,75,74,1,73,74
nfcorpus,0,PLAIN-1008,balanced,1,76,75,1,74,75
nfcorpus,0,PLAIN-1008,balanced,1,77,76,1,75,76
nfcorpus,0,PLAIN-1008,balanced,1,78,77,1,76,77
nfcorpus,0,PLAIN-1008,balanced,1,79,78,1,77,78
nfcorpus,0,PLAIN-1008,balanced,1,80,79,1,78,79
nfcorpus,0,PLAIN-1008,balanced,1,81,80,1,79,80
nfcorpus,0,PLAIN-1008,balanced,1,82,81,1,80,81
nfcorpus,0,PLAIN-1008,balanced,1,83,82,1,81,82
nfcorpus,0,PLAIN-1008,balanced,1,84,83,1,82,83
nfcorpus,0,PLAIN-1008,balanced,1,85,84,1,83,84
nfcorpus,0,PLAIN-1008,balanced,1,86,85,1,84,85
nfcorpus,0,PLAIN-1008,balanced,1,87,86,1,85,86
nfcorpus,0,PLAIN-1008,balanced,1,88,87,1,86,87
nfcorpus,0,PLAIN-1008,balanced,1,89,88,1,87,88
nfcorpus,0,PLAIN-1008,balanced,1,90,89,1,88,89
nfcorpus,0,PLAIN-1008,balanced,1,91,90,1,89,90
nfcorpus,0,PLAIN-1008,balanced,1,92,91,1,90,91
nfcorpus,0,PLAIN-1008,balanced,1,93,92,1,91,92
nfcorpus,0,PLAIN-1008,balanced,1,94,93,1,92,93
nfcorpus,0,PLAIN-1008,balanced,1,95,94,1,93,94
nfcorpus,0,PLAIN-1008,balanced,1,96,95,1,94,95
nfcorpus,0,PLAIN-1008,balanced,1,97,96,1,95,96
nfcorpus,0,PLAIN-1008,balanced,1,98,97,1,96,97
nfcorpus,0,PLAIN-1008,balanced,1,99,98,1,97,98
nfcorpus,0,PLAIN-1008,balanced,1,100,99,1,98,99
nfcorpus,0,PLAIN-1008,balanced,1,101,100,1,99,100
nfcorpus,0,PLAIN-1008,dibud,64,65,64,1,0,64
nfcorpus,0,PLAIN-1008,dibud,64,128,127,1,64,100
nfcorpus,0,PLAIN-1008,balanced,64,65,64,1,0,64
nfcorpus,0,PLAIN-1008,balanced,64,128,127,1,64,100
nfcorpus,0,PLAIN-1018,dibud,1,2,1,1,0,1
nfcorpus,0,PLAIN-1018,dibud,1,6,3,3,1,2
nfcorpus,0,PLAIN-1018,dibud,1,11,6,5,2,3
nfcorpus,0,PLAIN-1018,dibud,1,15,8,7,3,4
nfcorpus,0,PLAIN-1018,dibud,1,17,9,8,4,5
nfcorpus,0,PLAIN-1018,dibud,1,18,10,8,5,6
nfcorpus,0,PLAIN-1018,dibud,1,21,13,8,6,8
nfcorpus,0,PLAIN-1018,dibud,1,23,13,10,8,10
nfcorpus,0,PLAIN-1018,dibud,1,24,13,11,10,11
nfcorpus,0,PLAIN-1018,dibud,1,32,15,17,11,12
nfcorpus,0,PLAIN-1018,dibud,1,42,19,23,12,13
nfcorpus,0,PLAIN-1018,dibud,1,48,23,25,13,14
nfcorpus,0,PLAIN-1018,dibud,1,49,24,25,14,15
nfcorpus,0,PLAIN-1018,dibud,1,50,25,25,15,17
nfcorpus,0,PLAIN-1018,dibud,1,62,37,25,17,18
nfcorpus,0,PLAIN-1018,dibud,1,112,87,25,18,19
nfcorpus,0,PLAIN-1018,dibud,1,114,89,25,19,20
nfcorpus,0,PLAIN-1018,dibud,1,336,311,25,20,21
nfcorpus,0,PLAIN-1018,dibud,1,575,550,25,21,24
nfcorpus,0,PLAIN-1018,dibud,1,800,775,25,24,25
nfcorpus,0,PLAIN-1018,dibud,1,1103,1078,25,25,30
nfcorpus,0,PLAIN-1018,dibud,1,1293,1268,25,30,31
nfcorpus,0,PLAIN-1018,dibud,1,1646,1621,25,31,100
nfcorpus,0,PLAIN-1018,balanced,1,2,1,1,0,1
nfcorpus,0,PLAIN-1018,balanced,1,6,3,3,1,2
nfcorpus,0,PLAIN-1018,balanced,1,10,5,5,2,3
nfcorpus,0,PLAIN-1018,balanced,1,15,8,7,3,4
nfcorpus,0,PLAIN-1018,balanced,1,17,9,8,4,5
nfcorpus,0,PLAIN-1018,balanced,1,19,10,9,5,6
nfcorpus,0,PLAIN-1018,balanced,1,25,13,12,6,11
nfcorpus,0,PLAIN-1018,balanced,1,34,17,17,11,12
nfcorpus,0,PLAIN-1018,balanced,1,46,23,23,12,13
nfcorpus,0,PLAIN-1018,balanced,1,50,25,25,13,17
nfcorpus,0,PLAIN-1018,balanced,1,62,37,25,17,18
nfcorpus,0,PLAIN-1018,balanced,1,112,87,25,18,19
nfcorpus,0,PLAIN-1018,balanced,1,114,89,25,19,20
nfcorpus,0,PLAIN-1018,balanced,1,336,311,25,20,21
nfcorpus,0,PLAIN-1018,balanced,1,575,550,25,21,24
nfcorpus,0,PLAIN-1018,balanced,1,800,775,25,24,25
nfcorpus,0,PLAIN-1018,balanced,1,1103,1078,25,25,30
nfcorpus,0,PLAIN-1018,balanced,1,1293,1268,25,30,31
nfcorpus,0,PLAIN-1018,balanced,1,1646,1621,25,31,100
nfcorpus,0,PLAIN-1018,dibud,64,89,64,25,0,18
nfcorpus,0,PLAIN-1018,dibud,64,128,103,25,18,20
nfcorpus,0,PLAIN-1018,dibud,64,384,359,25,20,21
nfcorpus,0,PLAIN-1018,dibud,64,576,551,25,21,24
nfcorpus,0,PLAIN-1018,dibud,64,832,807,25,24,25
nfcorpus,0,PLAIN-1018,dibud,64,1152,1127,25,25,30
nfcorpus,0,PLAIN-1018,dibud,64,1344,1319,25,30,31
nfcorpus,0,PLAIN-1018,dibud,64,1664,1639,25,31,100
nfcorpus,0,PLAIN-1018,balanced,64,89,64,25,0,18
nfcorpus,0,PLAIN-1018,balanced,64,128,103,25,18,20
nfcorpus,0,PLAIN-1018,balanced,64,384,359,25,20,21
nfcorpus,0,PLAIN-1018,balanced,64,576,551,25,21,24
nfcorpus,0,PLAIN-1018,balanced,64,832,807,25,24,25
nfcorpus,0,PLAIN-1018,balanced,64,1152,1127,25,25,30
nfcorpus,0,PLAIN-1018,balanced,64,1344,1319,25,30,31
nfcorpus,0,PLAIN-1018,balanced,64,1664,1639,25,31,100
nfcorpus,0,PLAIN-102,dibud,1,5,2,3,0,1
nfcorpus,0,PLAIN-102,dibud,1,50,24,26,1,2
nfcorpus,0,PLAIN-102,dibud,1,111,54,57,2,3
nfcorpus,0,PLAIN-102,dibud,1,133,64,69,3,4
nfcorpus,0,PLAIN-102,dibud,1,142,69,73,4,5
nfcorpus,0,PLAIN-102,dibud,1,160,77,83,5,6
nfcorpus,0,PLAIN-102,dibud,1,194,94,100,6,7
nfcorpus,0,PLAIN-102,dibud,1,214,103,111,7,8
nfcorpus,0,PLAIN-102,dibud,1,215,104,111,8,9
nfcorpus,0,PLAIN-102,dibud,1,220,106,114,9,10
nfcorpus,0,PLAIN-102,dibud,1,281,135,146,10,11
nfcorpus,0,PLAIN-102,dibud,1,323,155,168,11,12
nfcorpus,0,PLAIN-102,dibud,1,345,165,180,12,13
nfcorpus,0,PLAIN-102,dibud,1,376,180,196,13,14
nfcorpus,0,PLAIN-102,dibud,1,383,183,200,14,15
nfcorpus,0,PLAIN-102,dibud,1,396,189,207,15,16
nfcorpus,0,PLAIN-102,dibud,1,400,191,209,16,17
nfcorpus,0,PLAIN-102,dibud,1,419,191,228,17,18
nfcorpus,0,PLAIN-102,dibud,1,440,191,249,18,19
nfcorpus,0,PLAIN-102,dibud,1,456,191,265,19,21
nfcorpus,0,PLAIN-102,dibud,1,579,245,334,21,22
nfcorpus,0,PLAIN-102,dibud,1,595,261,334,22,24
nfcorpus,0,PLAIN-102,dibud,1,596,262,334,24,25
nfcorpus,0,PLAIN-102,dibud,1,630,281,349,25,26
nfcorpus,0,PLAIN-102,dibud,1,645,287,358,26,27
nfcorpus,0,PLAIN-102,dibud,1,820,357,463,27,28
nfcorpus,0,PLAIN-102,dibud,1,838,364,474,28,29
nfcorpus,0,PLAIN-102,dibud,1,897,386,511,29,30
nfcorpus,0,PLAIN-102,dibud,1,950,439,511,30,31
nfcorpus,0,PLAIN-102,dibud,1,963,452,511,31,32
nfcorpus,0,PLAIN-102,dibud,1,1080,569,511,32,33
nfcorpus,0,PLAIN-102,dibud,1,1089,578,511,33,34
nfcorpus,0,PLAIN-102,dibud,1,1189,678,511,34,35
nfcorpus,0,PLAIN-102,dibud,1,1475,879,596,35,36
nfcorpus,0,PLAIN-102,dibud,1,1503,879,624,36,37
nfcorpus,0,PLAIN-102,dibud,1,1577,879,698,37,38
nfcorpus,0,PLAIN-102,dibud,1,2103,879,1224,38,40
nfcorpus,0,PLAIN-102,dibud,1,2117,893,1224,40,46
nfcorpus,0,PLAIN-102,dibud,1,2135,911,1224,46,57
nfcorpus,0,PLAIN-102,dibud,1,2173,911,1262,57,58
nfcorpus,0,PLAIN-102,dibud,1,2222,960,1262,58,59
nfcorpus,0,PLAIN-102,dibud,1,2247,985,1262,59,60
nfcorpus,0,PLAIN-102,dibud,1,2254,992,1262,60,61
nfcorpus,0,PLAIN-102,dibud,1,2789,1527,1262,61,69
nfcorpus,0,PLAIN-102,dibud,1,2905,1643,1262,69,74
nfcorpus,0,PLAIN-102,dibud,1,2942,1680,1262,74,75
nfcorpus,0,PLAIN-102,dibud,1,2950,1688,1262,75,76
nfcorpus,0,PLAIN-102,dibud,1,3185,1923,1262,76,85
nfcorpus,0,PLAIN-102,dibud,1,3199,1937,1262,85,86
nfcorpus,0,PLAIN-102,dibud,1,3409,2147,1262,86,87
nfcorpus,0,PLAIN-102,dibud,1,3544,2282,1262,87,88
nfcorpus,0,PLAIN-102,dibud,1,3754,2492,1262,88,89
nfcorpus,0,PLAIN-102,dibud,1,4305,3043,1262,89,90
nfcorpus,0,PLAIN-102,dibud,1,4412,3150,1262,90,91
nfcorpus,0,PLAIN-102,dibud,1,4539,3277,1262,91,100
nfcorpus,0,PLAIN-102,balanced,1,3,2,1,0,1
nfcorpus,0,PLAIN-102,balanced,1,52,26,26,1,2
nfcorpus,0,PLAIN-102,balanced,1,114,57,57,2,3
nfcorpus,0,PLAIN-102,balanced,1,138,69,69,3,4
nfcorpus,0,PLAIN-102,balanced,1,146,73,73,4,5
nfcorpus,0,PLAIN-102,balanced,1,166,83,83,5,6
nfcorpus,0,PLAIN-102,balanced,1,200,100,100,6,7
nfcorpus,0,PLAIN-102,balanced,1,222,111,111,7,9
nfcorpus,0,PLAIN-102,balanced,1,228,114,114,9,10
nfcorpus,0,PLAIN-102,balanced,1,292,146,146,10,11
nfcorpus,0,PLAIN-102,balanced,1,336,168,168,11,12
nfcorpus,0,PLAIN-102,balanced,1,360,180,180,12,13
nfcorpus,0,PLAIN-102,balanced,1,392,196,196,13,14
nfcorpus,0,PLAIN-102,balanced,1,400,200,200,14,15
nfcorpus,0,PLAIN-102,balanced,1,414,207,207,15,16
nfcorpus,0,PLAIN-102,balanced,1,418,209,209,16,17
nfcorpus,0,PLAIN-102,balanced,1,456,228,228,17,18
nfcorpus,0,PLAIN-102,balanced,1,498,249,249,18,19
nfcorpus,0,PLAIN-102,balanced,1,530,265,265,19,21
nfcorpus,0,PLAIN-102,balanced,1,668,334,334,21,25
nfcorpus,0,PLAIN-102,balanced,1,698,349,349,25,26
nfcorpus,0,PLAIN-102,balanced,1,716,358,358,26,27
nfcorpus,0,PLAIN-102,balanced,1,926,463,463,27,28
nfcorpus,0,PLAIN-102,balanced,1,948,474,474,28,29
nfcorpus,0,PLAIN-102,balanced,1,1022,511,511,29,32
nfcorpus,0,PLAIN-102,balanced,1,1137,569,568,32,33
nfcorpus,0,PLAIN-102,balanced,1,1155,578,577,33,34
nfcorpus,0,PLAIN-102,balanced,1,1355,678,677,34,35
nfcorpus,0,PLAIN-102,balanced,1,1757,879,878,35,38
nfcorpus,0,PLAIN-102,balanced,1,2448,1224,1224,38,57
nfcorpus,0,PLAIN-102,balanced,1,2524,1262,1262,57,61
nfcorpus,0,PLAIN-102,balanced,1,2789,1527,1262,61,69
nfcorpus,0,PLAIN-102,balanced,1,2905,1643,1262,69,74
nfcorpus,0,PLAIN-102,balanced,1,2942,1680,1262,74,75
nfcorpus,0,PLAIN-102,balanced,1,2950,1688,1262,75,76
nfcorpus,0,PLAIN-102,balanced,1,3185,1923,1262,76,85
nfcorpus,0,PLAIN-102,balanced,1,3199,1937,1262,85,86
nfcorpus,0,PLAIN-102,balanced,1,3409,2147,1262,86,87
nfcorpus,0,PLAIN-102,balanced,1,3544,2282,1262,87,88
nfcorpus,0,PLAIN-102,balanced,1,3754,2492,1262,88,89
nfcorpus,0,PLAIN-102,balanced,1,4305,3043,1262,89,90
nfcorpus,0,PLAIN-102,balanced,1,4412,3150,1262,90,91
nfcorpus,0,PLAIN-102,balanced,1,4539,3277,1262,91,100
nfcorpus,0,PLAIN-102,dibud,64,128,64,64,0,3
nfcorpus,0,PLAIN-102,dibud,64,192,64,128,3,4
nfcorpus,0,PLAIN-102,dibud,64,256,128,128,4,10
nfcorpus,0,PLAIN-102,dibud,64,384,192,192,10,13
nfcorpus,0,PLAIN-102,dibud,64,448,192,256,13,19
nfcorpus,0,PLAIN-102,dibud,64,512,192,320,19,21
nfcorpus,0,PLAIN-102,dibud,64,640,256,384,21,22
nfcorpus,0,PLAIN-102,dibud,64,704,320,384,22,27
nfcorpus,0,PLAIN-102,dibud,64,896,384,512,27,29
nfcorpus,0,PLAIN-102,dibud,64,960,448,512,29,31
nfcorpus,0,PLAIN-102,dibud,64,1024,512,512,31,32
nfcorpus,0,PLAIN-102,dibud,64,1088,576,512,32,33
nfcorpus,0,PLAIN-102,dibud,64,1152,640,512,33,34
nfcorpus,0,PLAIN-102,dibud,64,1216,704,512,34,35
nfcorpus,0,PLAIN-102,dibud,64,1536,896,640,35,37
nfcorpus,0,PLAIN-102,dibud,64,1600,896,704,37,38
nfcorpus,0,PLAIN-102,dibud,64,2158,896,1262,38,46
nfcorpus,0,PLAIN-102,dibud,64,2222,960,1262,46,59
nfcorpus,0,PLAIN-102,dibud,64,2286,1024,1262,59,61
nfcorpus,0,PLAIN-102,dibud,64,2798,1536,1262,61,69
nfcorpus,0,PLAIN-102,dibud,64,2926,1664,1262,69,74
nfcorpus,0,PLAIN-102,dibud,64,2990,1728,1262,74,76
nfcorpus,0,PLAIN-102,dibud,64,3246,1984,1262,76,86
nfcorpus,0,PLAIN-102,dibud,64,3438,2176,1262,86,87
nfcorpus,0,PLAIN-102,dibud,64,3566,2304,1262,87,88
nfcorpus,0,PLAIN-102,dibud,64,3758,2496,1262,88,89
nfcorpus,0,PLAIN-102,dibud,64,4352,3090,1262,89,90
nfcorpus,0,PLAIN-102,dibud,64,4416,3154,1262,90,91
nfcorpus,0,PLAIN-102,dibud,64,4544,3282,1262,91,100
nfcorpus,0,PLAIN-102,balanced,64,128,64,64,0,3
nfcorpus,0,PLAIN-102,balanced,64,256,128,128,3,10
nfcorpus,0,PLAIN-102,balanced,64,384,192,192,10,13
nfcorpus,0,PLAIN-102,balanced,64,512,256,256,13,19
nfcorpus,0,PLAIN-102,balanced,64,640,320,320,19,21
nfcorpus,0,PLAIN-102,balanced,64,768,384,384,21,27
nfcorpus,0,PLAIN-102,balanced,64,1024,512,512,27,32
nfcorpus,0,PLAIN-102,balanced,64,1088,576,512,32,33
nfcorpus,0,PLAIN-102,balanced,64,1216,640,576,33,34
nfcorpus,0,PLAIN-102,balanced,64,1344,704,640,34,35
nfcorpus,0,PLAIN-102,balanced,64,1728,896,832,35,38
nfcorpus,0,PLAIN-102,balanced,64,2542,1280,1262,38,61
nfcorpus,0,PLAIN-102,balanced,64,2798,1536,1262,61,69
nfcorpus,0,PLAIN-102,balanced,64,2926,1664,1262,69,74
nfcorpus,0,PLAIN-102,balanced,64,2990,1728,1262,74,76
nfcorpus,0,PLAIN-102,balanced,64,3246,1984,1262,76,86
nfcorpus,0,PLAIN-102,balanced,64,3438,2176,1262,86,87
nfcorpus,0,PLAIN-102,balanced,64,3566,2304,1262,87,88
nfcorpus,0,PLAIN-102,balanced,64,3758,2496,1262,88,89
nfcorpus,0,PLAIN-102,balanced,64,4352,3090,1262,89,90
nfcorpus,0,PLAIN-102,balanced,64,4416,3154,1262,90,91
nfcorpus,0,PLAIN-102,balanced,64,4544,3282,1262,91,100
nfcorpus,0,PLAIN-1028,dibud,1,14,7,7,0,1
nfcorpus,0,PLAIN-1028,dibud,1,32,16,16,1,2
nfcorpus,0,PLAIN-1028,dibud,1,46,23,23,2,3
