dataset,policy,batch,k,n,completion,mean_cost_lower,median_lower,median_upper,p90_lower,p90_upper,p95_lower,p95_upper
nfcorpus,balanced,64,10,323,1.0,344.8978328173375,128,128.0,640,640.0,1600,1600.0
nfcorpus,balanced,64,20,323,1.0,765.9566563467492,384,384.0,2112,2112.0,2880,2880.0
nfcorpus,balanced,64,50,323,1.0,1919.0,1728,1728.0,3835,3835.0,4416,4416.0
nfcorpus,balanced,64,100,323,1.0,2635.235294117647,2880,2880.0,4544,4544.0,5056,5056.0
nfcorpus,dibud,1,5,323,1.0,144.75851393188856,38,38.0,210,210.0,702,702.0
nfcorpus,dibud,1,10,323,1.0,287.3157894736842,101,101.0,616,616.0,1584,1584.0
nfcorpus,dibud,1,20,323,1.0,683.907120743034,308,308.0,2027,2027.0,2685,2685.0
nfcorpus,dibud,1,50,323,1.0,1779.6006191950464,1634,1634.0,3580,3580.0,3962,3962.0
nfcorpus,dibud,1,100,323,1.0,2568.2538699690404,2868,2868.0,4445,4445.0,4893,4893.0
nfcorpus,dibud,64,5,323,1.0,215.95356037151703,128,128.0,256,256.0,704,704.0
nfcorpus,dibud,64,10,323,1.0,342.1238390092879,128,128.0,640,640.0,1600,1600.0
nfcorpus,dibud,64,20,323,1.0,730.7430340557275,384,384.0,2048,2048.0,2752,2752.0
nfcorpus,dibud,64,50,323,1.0,1814.5077399380805,1664,1664.0,3606,3606.0,3968,3968.0
nfcorpus,dibud,64,100,323,1.0,2600.3653250773996,2880,2880.0,4480,4480.0,4896,4896.0
scifact,balanced,1,5,300,1.0,64.60333333333334,42,42.0,123,123.0,180,180.0
scifact,balanced,1,10,300,1.0,189.49666666666667,116,116.0,371,371.0,644,644.0
scifact,balanced,1,20,300,1.0,861.21,361,361.0,2344,2344.0,4060,4060.0
scifact,balanced,1,50,300,1.0,3616.8566666666666,3464,3464.0,6740,6740.0,7377,7377.0
scifact,balanced,1,100,300,1.0,5691.45,5840,5840.0,7715,7715.0,8169,8169.0
scifact,balanced,64,5,300,1.0,145.70666666666668,128,128.0,128,128.0,256,256.0
scifact,balanced,64,10,300,1.0,249.47,128,128.0,384,384.0,768,768.0
scifact,balanced,64,20,300,1.0,908.6766666666666,384,384.0,2368,2368.0,4096,4096.0
scifact,balanced,64,50,300,1.0,3655.5233333333335,3520,3520.0,6766,6766.0,7392,7392.0
scifact,balanced,64,100,300,1.0,5726.013333333333,5888,5888.0,7736,7736.0,8192,8192.0
scifact,dibud,1,5,300,1.0,63.13666666666666,41,41.0,122,122.0,175,175.0
scifact,dibud,1,10,300,1.0,179.84666666666666,112,112.0,368,368.0,630,630.0
scifact,dibud,1,20,300,1.0,746.9333333333333,325,325.0,2027,2027.0,3362,3362.0
scifact,dibud,1,50,300,1.0,3127.55,2696,2696.0,6143,6143.0,6803,6803.0
scifact,dibud,1,100,300,1.0,5306.836666666667,5481,5481.0,7532,7532.0,7948,7948.0
scifact,dibud,64,5,300,1.0,145.49333333333334,128,128.0,128,128.0,256,256.0
scifact,dibud,64,10,300,1.0,243.92333333333335,128,128.0,384,384.0,640,640.0
scifact,dibud,64,20,300,1.0,807.94,384,384.0,2112,2112.0,3392,3392.0
scifact,dibud,64,50,300,1.0,3181.04,2752,2752.0,6208,6208.0,6848,6848.0
scifact,dibud,64,100,300,1.0,5348.9766666666665,5515,5515.0,7552,7552.0,8000,8000.0
trec-covid,balanced,1,5,50,1.0,416.3,116,116.0,598,598.0,832,832.0
trec-covid,balanced,1,10,50,1.0,2396.52,280,280.0,4340,4340.0,13336,13336.0
trec-covid,balanced,1,20,50,1.0,15711.02,3690,3690.0,40934,40934.0,67490,67490.0
trec-covid,balanced,1,50,50,0.32,19120.52,10001,inf,40935,inf,67491,inf
trec-covid,balanced,1,100,50,0.18,19936.52,10001,inf,40935,inf,67491,inf
trec-covid,balanced,64,5,50,1.0,474.88,128,128.0,640,640.0,896,896.0
trec-covid,balanced,64,10,50,1.0,2447.04,384,384.0,4352,4352.0,13392,13392.0
trec-covid,balanced,64,20,50,1.0,15756.8,3712,3712.0,40912,40912.0,67536,67536.0
trec-covid,balanced,64,50,50,0.32,19149.16,10001,inf,40913,inf,67537,inf
trec-covid,balanced,64,100,50,0.18,19956.34,10001,inf,40913,inf,67537,inf
trec-covid,dibud,1,5,50,1.0,399.98,113,113.0,583,583.0,832,832.0
trec-covid,dibud,1,10,50,1.0,1797.12,270,270.0,3138,3138.0,9882,9882.0
trec-covid,dibud,1,20,50,1.0,11417.78,2544,2544.0,39970,39970.0,56363,56363.0
trec-covid,dibud,1,50,50,0.34,14818.72,10001,inf,39971,inf,56364,inf
trec-covid,dibud,1,100,50,0.2,15783.8,10001,inf,39971,inf,56364,inf
trec-covid,dibud,64,5,50,1.0,462.08,128,128.0,640,640.0,896,896.0
trec-covid,dibud,64,10,50,1.0,1854.08,384,384.0,3200,3200.0,9984,9984.0
trec-covid,dibud,64,20,50,1.0,11479.68,2560,2560.0,40080,40080.0,56400,56400.0
trec-covid,dibud,64,50,50,0.34,14860.5,10001,inf,40081,inf,56401,inf
trec-covid,dibud,64,100,50,0.2,15816.48,10001,inf,40081,inf,56401,inf
