dataset,query_id,dense_to_sparse_cost_ratio,policy,base_budget,target_cost,charged_cost,dense_depth,sparse_depth,dense_cost_share,certified_k_cap100,next_certificate_gap
msmarco-passage-trec-dl-2019,156493,0.0625,allocation-grid-envelope,2048,1088.0,736.5,5000,424,0.4243041412084182,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,allocation-grid-envelope,4096,2176.0,736.5,5000,424,0.4243041412084182,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,allocation-grid-envelope,8192,4352.0,736.5,5000,424,0.4243041412084182,100,-inf
msmarco-passage-trec-dl-2019,156493,0.0625,allocation-grid-envelope,10000,5312.5,736.5,5000,424,0.4243041412084182,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,cost-balanced,128,72.0,72.0,64,64,0.1111111111111111,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.125,cost-balanced,256,144.0,144.0,576,72,0.5,18,-0.0012640021741390228
msmarco-passage-trec-dl-2019,156493,0.125,cost-balanced,512,288.0,288.0,1152,144,0.5,24,-0.00014368444681167603
msmarco-passage-trec-dl-2019,156493,0.125,cost-balanced,1024,576.0,576.0,2240,296,0.4861111111111111,87,-9.474903345108032e-05
msmarco-passage-trec-dl-2019,156493,0.125,cost-balanced,2048,1152.0,1152.0,4480,592,0.4861111111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,cost-balanced,4096,2304.0,2304.0,5000,1679,0.2712673611111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,cost-balanced,8192,4608.0,4608.0,5000,3983,0.13563368055555555,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,cost-balanced,10000,5625.0,5625.0,5000,5000,0.1111111111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,upper-per-cost,128,72.0,72.0,192,48,0.3333333333333333,15,-0.00043276138603687286
msmarco-passage-trec-dl-2019,156493,0.125,upper-per-cost,256,144.0,144.0,320,104,0.2777777777777778,22,-0.00037561729550361633
msmarco-passage-trec-dl-2019,156493,0.125,upper-per-cost,512,288.0,288.0,640,208,0.2777777777777778,70,-8.62758606672287e-05
msmarco-passage-trec-dl-2019,156493,0.125,upper-per-cost,1024,576.0,576.0,1344,408,0.2916666666666667,93,-3.99341806769371e-05
msmarco-passage-trec-dl-2019,156493,0.125,upper-per-cost,2048,1152.0,1152.0,2432,848,0.2638888888888889,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,upper-per-cost,4096,2304.0,2304.0,4928,1688,0.2673611111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,upper-per-cost,8192,4608.0,4608.0,4992,3984,0.13541666666666666,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,upper-per-cost,10000,5625.0,5625.0,5000,5000,0.1111111111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,blocker-per-cost,128,72.0,72.0,64,64,0.1111111111111111,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.125,blocker-per-cost,256,144.0,144.0,128,128,0.1111111111111111,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.125,blocker-per-cost,512,288.0,288.0,448,232,0.19444444444444445,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.125,blocker-per-cost,1024,576.0,576.0,1216,424,0.2638888888888889,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,blocker-per-cost,2048,1152.0,1152.0,2496,840,0.2708333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,blocker-per-cost,4096,2304.0,2304.0,4928,1688,0.2673611111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,blocker-per-cost,8192,4608.0,4608.0,4992,3984,0.13541666666666666,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,blocker-per-cost,10000,5625.0,5625.0,5000,5000,0.1111111111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,pressure-per-cost,128,72.0,72.0,64,64,0.1111111111111111,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.125,pressure-per-cost,256,144.0,144.0,128,128,0.1111111111111111,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.125,pressure-per-cost,512,288.0,288.0,448,232,0.19444444444444445,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.125,pressure-per-cost,1024,576.0,576.0,832,472,0.18055555555555555,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,pressure-per-cost,2048,1152.0,1152.0,1472,968,0.1597222222222222,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,pressure-per-cost,4096,2304.0,2304.0,3328,1888,0.18055555555555555,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,pressure-per-cost,8192,4608.0,4608.0,4992,3984,0.13541666666666666,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,pressure-per-cost,10000,5625.0,5625.0,5000,5000,0.1111111111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,candidate-per-cost,128,72.0,72.0,64,64,0.1111111111111111,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.125,candidate-per-cost,256,144.0,144.0,128,128,0.1111111111111111,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.125,candidate-per-cost,512,288.0,288.0,448,232,0.19444444444444445,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.125,candidate-per-cost,1024,576.0,576.0,1216,424,0.2638888888888889,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,candidate-per-cost,2048,1152.0,1152.0,2496,840,0.2708333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,candidate-per-cost,4096,2304.0,2304.0,4928,1688,0.2673611111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,candidate-per-cost,8192,4608.0,4608.0,4992,3984,0.13541666666666666,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,candidate-per-cost,10000,5625.0,5625.0,5000,5000,0.1111111111111111,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,allocation-grid-envelope,128,72.0,72.0,104,59,0.18055555555555555,18,-0.0020916052162647247
msmarco-passage-trec-dl-2019,156493,0.125,allocation-grid-envelope,256,144.0,144.0,200,119,0.1736111111111111,24,-0.0008283164352178574
msmarco-passage-trec-dl-2019,156493,0.125,allocation-grid-envelope,512,288.0,288.0,544,220,0.2361111111111111,76,-0.0003444887697696686
msmarco-passage-trec-dl-2019,156493,0.125,allocation-grid-envelope,1024,576.0,576.0,1216,424,0.2638888888888889,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,allocation-grid-envelope,2048,1152.0,1152.0,4608,576,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,allocation-grid-envelope,4096,2304.0,1249.0,5000,624,0.500400320256205,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,allocation-grid-envelope,8192,4608.0,1249.0,5000,624,0.500400320256205,100,-inf
msmarco-passage-trec-dl-2019,156493,0.125,allocation-grid-envelope,10000,5625.0,1249.0,5000,624,0.500400320256205,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,cost-balanced,128,80.0,80.0,64,64,0.2,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.25,cost-balanced,256,160.0,160.0,320,80,0.5,18,-0.0008311010897159576
msmarco-passage-trec-dl-2019,156493,0.25,cost-balanced,512,320.0,320.0,640,160,0.5,25,-4.889443516731262e-05
msmarco-passage-trec-dl-2019,156493,0.25,cost-balanced,1024,640.0,640.0,1216,336,0.475,88,-5.532614886760712e-05
msmarco-passage-trec-dl-2019,156493,0.25,cost-balanced,2048,1280.0,1280.0,2496,656,0.4875,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,cost-balanced,4096,2560.0,2560.0,5000,1310,0.48828125,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,cost-balanced,8192,5120.0,5120.0,5000,3870,0.244140625,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,cost-balanced,10000,6250.0,6250.0,5000,5000,0.2,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,upper-per-cost,128,80.0,80.0,128,48,0.4,15,-0.00043276138603687286
msmarco-passage-trec-dl-2019,156493,0.25,upper-per-cost,256,160.0,160.0,192,112,0.3,22,-9.200908243656158e-05
msmarco-passage-trec-dl-2019,156493,0.25,upper-per-cost,512,320.0,320.0,448,208,0.35,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.25,upper-per-cost,1024,640.0,640.0,896,416,0.35,93,-4.022382199764252e-06
msmarco-passage-trec-dl-2019,156493,0.25,upper-per-cost,2048,1280.0,1280.0,1728,848,0.3375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,upper-per-cost,4096,2560.0,2560.0,3456,1696,0.3375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,upper-per-cost,8192,5120.0,5120.0,4992,3872,0.24375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,upper-per-cost,10000,6250.0,6250.0,5000,5000,0.2,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,blocker-per-cost,128,80.0,80.0,64,64,0.2,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.25,blocker-per-cost,256,160.0,160.0,128,128,0.2,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.25,blocker-per-cost,512,320.0,320.0,448,208,0.35,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.25,blocker-per-cost,1024,640.0,640.0,832,432,0.325,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,blocker-per-cost,2048,1280.0,1280.0,1728,848,0.3375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,blocker-per-cost,4096,2560.0,2560.0,3456,1696,0.3375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,blocker-per-cost,8192,5120.0,5120.0,4992,3872,0.24375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,blocker-per-cost,10000,6250.0,6250.0,5000,5000,0.2,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,pressure-per-cost,128,80.0,80.0,64,64,0.2,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.25,pressure-per-cost,256,160.0,160.0,128,128,0.2,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.25,pressure-per-cost,512,320.0,320.0,448,208,0.35,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.25,pressure-per-cost,1024,640.0,640.0,832,432,0.325,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,pressure-per-cost,2048,1280.0,1280.0,1280,960,0.25,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,pressure-per-cost,4096,2560.0,2560.0,2752,1872,0.26875,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,pressure-per-cost,8192,5120.0,5120.0,4992,3872,0.24375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,pressure-per-cost,10000,6250.0,6250.0,5000,5000,0.2,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,candidate-per-cost,128,80.0,80.0,64,64,0.2,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.25,candidate-per-cost,256,160.0,160.0,128,128,0.2,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.25,candidate-per-cost,512,320.0,320.0,448,208,0.35,70,-0.00010189134627580643
msmarco-passage-trec-dl-2019,156493,0.25,candidate-per-cost,1024,640.0,640.0,832,432,0.325,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,candidate-per-cost,2048,1280.0,1280.0,1728,848,0.3375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,candidate-per-cost,4096,2560.0,2560.0,3456,1696,0.3375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,candidate-per-cost,8192,5120.0,5120.0,4992,3872,0.24375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,candidate-per-cost,10000,6250.0,6250.0,5000,5000,0.2,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,allocation-grid-envelope,128,80.0,80.0,80,60,0.25,18,-0.0020215772092342377
msmarco-passage-trec-dl-2019,156493,0.25,allocation-grid-envelope,256,160.0,160.0,160,120,0.25,24,-0.0007972791790962219
msmarco-passage-trec-dl-2019,156493,0.25,allocation-grid-envelope,512,320.0,320.0,472,202,0.36875,70,-0.00017172656953334808
msmarco-passage-trec-dl-2019,156493,0.25,allocation-grid-envelope,1024,640.0,640.0,864,424,0.3375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,allocation-grid-envelope,2048,1280.0,1280.0,2560,640,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,allocation-grid-envelope,4096,2560.0,2498.0,5000,1248,0.500400320256205,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,allocation-grid-envelope,8192,5120.0,2498.0,5000,1248,0.500400320256205,100,-inf
msmarco-passage-trec-dl-2019,156493,0.25,allocation-grid-envelope,10000,6250.0,2498.0,5000,1248,0.500400320256205,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,256,192.0,192.0,192,96,0.5,18,-9.850040078163147e-05
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,2048,1536.0,1536.0,1536,768,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,4096,3072.0,3072.0,3072,1536,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,8192,6144.0,6144.0,5000,3644,0.4069010416666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,cost-balanced,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,256,192.0,192.0,128,128,0.3333333333333333,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,512,384.0,384.0,320,224,0.4166666666666667,66,-4.5064836740493774e-05
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,1024,768.0,768.0,640,448,0.4166666666666667,76,-0.0001174313947558403
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,2048,1536.0,1536.0,1280,896,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,4096,3072.0,3072.0,2560,1792,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,8192,6144.0,6144.0,4992,3648,0.40625,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,upper-per-cost,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,256,192.0,192.0,128,128,0.3333333333333333,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,2048,1536.0,1536.0,1280,896,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,4096,3072.0,3072.0,2560,1792,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,8192,6144.0,6144.0,4992,3648,0.40625,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,blocker-per-cost,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,256,192.0,192.0,128,128,0.3333333333333333,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,2048,1536.0,1536.0,1152,960,0.375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,4096,3072.0,3072.0,2304,1920,0.375,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,8192,6144.0,6144.0,4672,3808,0.3802083333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,pressure-per-cost,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,128,96.0,96.0,64,64,0.3333333333333333,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,256,192.0,192.0,128,128,0.3333333333333333,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,2048,1536.0,1536.0,1280,896,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,4096,3072.0,3072.0,2560,1792,0.4166666666666667,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,8192,6144.0,6144.0,4992,3648,0.40625,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,candidate-per-cost,10000,7500.0,7500.0,5000,5000,0.3333333333333333,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,allocation-grid-envelope,128,96.0,96.0,72,60,0.375,18,-0.0020215772092342377
msmarco-passage-trec-dl-2019,156493,0.5,allocation-grid-envelope,256,192.0,192.0,144,120,0.375,24,-0.0007972791790962219
msmarco-passage-trec-dl-2019,156493,0.5,allocation-grid-envelope,512,384.0,384.0,384,192,0.5,69,-0.00020494963973760605
msmarco-passage-trec-dl-2019,156493,0.5,allocation-grid-envelope,1024,768.0,768.0,768,384,0.5,90,-0.00013030413538217545
msmarco-passage-trec-dl-2019,156493,0.5,allocation-grid-envelope,2048,1536.0,1536.0,1536,768,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,allocation-grid-envelope,4096,3072.0,3072.0,3072,1536,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,allocation-grid-envelope,8192,6144.0,5004.0,5000,2504,0.49960031974420466,100,-inf
msmarco-passage-trec-dl-2019,156493,0.5,allocation-grid-envelope,10000,7500.0,5004.0,5000,2504,0.49960031974420466,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,cost-balanced,128,128.0,128.0,64,64,0.5,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,1.0,cost-balanced,256,256.0,256.0,128,128,0.5,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,1.0,cost-balanced,512,512.0,512.0,256,256,0.5,63,-1.9834376871585846e-05
msmarco-passage-trec-dl-2019,156493,1.0,cost-balanced,1024,1024.0,1024.0,512,512,0.5,74,-5.2080489695072174e-05
msmarco-passage-trec-dl-2019,156493,1.0,cost-balanced,2048,2048.0,2048.0,1024,1024,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,cost-balanced,4096,4096.0,4096.0,2048,2048,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,cost-balanced,8192,8192.0,8192.0,4096,4096,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,cost-balanced,10000,10000.0,10000.0,5000,5000,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,upper-per-cost,128,128.0,128.0,64,64,0.5,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,1.0,upper-per-cost,256,256.0,256.0,128,128,0.5,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,1.0,upper-per-cost,512,512.0,512.0,256,256,0.5,63,-1.9834376871585846e-05
msmarco-passage-trec-dl-2019,156493,1.0,upper-per-cost,1024,1024.0,1024.0,512,512,0.5,74,-5.2080489695072174e-05
msmarco-passage-trec-dl-2019,156493,1.0,upper-per-cost,2048,2048.0,2048.0,1024,1024,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,upper-per-cost,4096,4096.0,4096.0,2048,2048,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,upper-per-cost,8192,8192.0,8192.0,4096,4096,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,upper-per-cost,10000,10000.0,10000.0,5000,5000,0.5,100,-inf
msmarco-passage-trec-dl-2019,156493,1.0,blocker-per-cost,128,128.0,128.0,64,64,0.5,18,-0.001752760261297226
msmarco-passage-trec-dl-2019,156493,1.0,blocker-per-cost,256,256.0,256.0,128,128,0.5,24,-0.0005608722567558289
msmarco-passage-trec-dl-2019,156493,1.0,blocker-per-cost,512,512.0,512.0,320,192,0.625,66,-4.5064836740493774e-05
