dataset,query_id,dense_to_sparse_cost_ratio,dense_cost_share,base_budget,target_cost,charged_cost,dense_depth,sparse_depth,certified_k_cap100
msmarco-passage-trec-dl-2019,156493,0.0625,0.25,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.3,128,68.0,67.375,326,47,15
msmarco-passage-trec-dl-2019,156493,0.0625,0.3,256,136.0,135.75,652,95,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.3,512,272.0,271.5625,1305,190,69
msmarco-passage-trec-dl-2019,156493,0.0625,0.3,1024,544.0,543.1875,2611,380,91
msmarco-passage-trec-dl-2019,156493,0.0625,0.3,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.3,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.3,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.3,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.35,128,68.0,67.75,380,44,14
msmarco-passage-trec-dl-2019,156493,0.0625,0.35,256,136.0,135.5625,761,88,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.35,512,272.0,271.1875,1523,176,36
msmarco-passage-trec-dl-2019,156493,0.0625,0.35,1024,544.0,543.375,3046,353,90
msmarco-passage-trec-dl-2019,156493,0.0625,0.35,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.35,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.35,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.35,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.4,128,68.0,67.1875,435,40,13
msmarco-passage-trec-dl-2019,156493,0.0625,0.4,256,136.0,135.375,870,81,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.4,512,272.0,271.75,1740,163,27
msmarco-passage-trec-dl-2019,156493,0.0625,0.4,1024,544.0,543.5625,3481,326,88
msmarco-passage-trec-dl-2019,156493,0.0625,0.4,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.4,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.4,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.4,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.45,128,68.0,67.5625,489,37,11
msmarco-passage-trec-dl-2019,156493,0.0625,0.45,256,136.0,135.1875,979,74,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.45,512,272.0,271.375,1958,149,24
msmarco-passage-trec-dl-2019,156493,0.0625,0.45,1024,544.0,543.75,3916,299,87
msmarco-passage-trec-dl-2019,156493,0.0625,0.45,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.45,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.45,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.45,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.5,128,68.0,68.0,544,34,10
msmarco-passage-trec-dl-2019,156493,0.0625,0.5,256,136.0,136.0,1088,68,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.5,512,272.0,272.0,2176,136,24
msmarco-passage-trec-dl-2019,156493,0.0625,0.5,1024,544.0,544.0,4352,272,83
msmarco-passage-trec-dl-2019,156493,0.0625,0.5,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.5,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.5,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.5,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.55,128,68.0,67.375,598,30,7
msmarco-passage-trec-dl-2019,156493,0.0625,0.55,256,136.0,135.75,1196,61,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.55,512,272.0,271.5625,2393,122,24
msmarco-passage-trec-dl-2019,156493,0.0625,0.55,1024,544.0,543.1875,4787,244,79
msmarco-passage-trec-dl-2019,156493,0.0625,0.55,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.55,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.55,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.55,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.6,128,68.0,67.75,652,27,5
msmarco-passage-trec-dl-2019,156493,0.0625,0.6,256,136.0,135.5625,1305,54,16
msmarco-passage-trec-dl-2019,156493,0.0625,0.6,512,272.0,271.1875,2611,108,22
msmarco-passage-trec-dl-2019,156493,0.0625,0.6,1024,544.0,543.5,5000,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.6,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.6,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.6,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.6,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.65,128,68.0,67.1875,707,23,4
msmarco-passage-trec-dl-2019,156493,0.0625,0.65,256,136.0,135.375,1414,47,15
msmarco-passage-trec-dl-2019,156493,0.0625,0.65,512,272.0,271.75,2828,95,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.65,1024,544.0,543.5,5000,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.65,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.65,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.65,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.65,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.7,128,68.0,67.5625,761,20,4
msmarco-passage-trec-dl-2019,156493,0.0625,0.7,256,136.0,135.1875,1523,40,13
msmarco-passage-trec-dl-2019,156493,0.0625,0.7,512,272.0,271.375,3046,81,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.7,1024,544.0,543.5,5000,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.7,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.7,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.7,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.7,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.75,128,68.0,68.0,816,17,4
msmarco-passage-trec-dl-2019,156493,0.0625,0.75,256,136.0,136.0,1632,34,10
msmarco-passage-trec-dl-2019,156493,0.0625,0.75,512,272.0,272.0,3264,68,18
msmarco-passage-trec-dl-2019,156493,0.0625,0.75,1024,544.0,543.5,5000,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.75,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.75,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.75,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.75,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.8,128,68.0,67.375,870,13,2
msmarco-passage-trec-dl-2019,156493,0.0625,0.8,256,136.0,135.75,1740,27,5
msmarco-passage-trec-dl-2019,156493,0.0625,0.8,512,272.0,271.5625,3481,54,16
msmarco-passage-trec-dl-2019,156493,0.0625,0.8,1024,544.0,543.5,5000,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.8,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.8,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.8,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.8,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.85,128,68.0,67.75,924,10,1
msmarco-passage-trec-dl-2019,156493,0.0625,0.85,256,136.0,135.5625,1849,20,4
msmarco-passage-trec-dl-2019,156493,0.0625,0.85,512,272.0,271.1875,3699,40,13
msmarco-passage-trec-dl-2019,156493,0.0625,0.85,1024,544.0,543.5,5000,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.85,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.85,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.85,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.85,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.9,128,68.0,67.1875,979,6,1
msmarco-passage-trec-dl-2019,156493,0.0625,0.9,256,136.0,135.375,1958,13,2
msmarco-passage-trec-dl-2019,156493,0.0625,0.9,512,272.0,271.75,3916,27,5
msmarco-passage-trec-dl-2019,156493,0.0625,0.9,1024,544.0,543.5,5000,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.9,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.9,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.9,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.9,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.95,128,68.0,67.5625,1033,3,0
msmarco-passage-trec-dl-2019,156493,0.0625,0.95,256,136.0,135.1875,2067,6,1
msmarco-passage-trec-dl-2019,156493,0.0625,0.95,512,272.0,271.375,4134,13,2
msmarco-passage-trec-dl-2019,156493,0.0625,0.95,1024,544.0,543.5,5000,231,76
msmarco-passage-trec-dl-2019,156493,0.0625,0.95,2048,1088.0,1087.5,5000,775,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.95,4096,2176.0,2175.5,5000,1863,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.95,8192,4352.0,4351.5,5000,4039,100
msmarco-passage-trec-dl-2019,156493,0.0625,0.95,10000,5312.5,5312.5,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.05,128,72.0,71.5,28,68,5
msmarco-passage-trec-dl-2019,156493,0.125,0.05,256,144.0,143.125,57,136,18
msmarco-passage-trec-dl-2019,156493,0.125,0.05,512,288.0,287.375,115,273,33
msmarco-passage-trec-dl-2019,156493,0.125,0.05,1024,576.0,575.75,230,547,63
msmarco-passage-trec-dl-2019,156493,0.125,0.05,2048,1152.0,1151.5,460,1094,70
msmarco-passage-trec-dl-2019,156493,0.125,0.05,4096,2304.0,2303.125,921,2188,100
msmarco-passage-trec-dl-2019,156493,0.125,0.05,8192,4608.0,4607.375,1843,4377,100
msmarco-passage-trec-dl-2019,156493,0.125,0.05,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.1,128,72.0,71.125,57,64,18
msmarco-passage-trec-dl-2019,156493,0.125,0.1,256,144.0,143.375,115,129,24
msmarco-passage-trec-dl-2019,156493,0.125,0.1,512,288.0,287.75,230,259,63
msmarco-passage-trec-dl-2019,156493,0.125,0.1,1024,576.0,575.5,460,518,70
msmarco-passage-trec-dl-2019,156493,0.125,0.1,2048,1152.0,1151.125,921,1036,100
msmarco-passage-trec-dl-2019,156493,0.125,0.1,4096,2304.0,2303.375,1843,2073,100
msmarco-passage-trec-dl-2019,156493,0.125,0.1,8192,4608.0,4607.75,3686,4147,100
msmarco-passage-trec-dl-2019,156493,0.125,0.1,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.15,128,72.0,71.75,86,61,18
msmarco-passage-trec-dl-2019,156493,0.125,0.15,256,144.0,143.5,172,122,24
msmarco-passage-trec-dl-2019,156493,0.125,0.15,512,288.0,287.125,345,244,68
msmarco-passage-trec-dl-2019,156493,0.125,0.15,1024,576.0,575.375,691,489,76
msmarco-passage-trec-dl-2019,156493,0.125,0.15,2048,1152.0,1151.75,1382,979,100
msmarco-passage-trec-dl-2019,156493,0.125,0.15,4096,2304.0,2303.5,2764,1958,100
msmarco-passage-trec-dl-2019,156493,0.125,0.15,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.15,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.2,128,72.0,71.375,115,57,16
msmarco-passage-trec-dl-2019,156493,0.125,0.2,256,144.0,143.75,230,115,23
msmarco-passage-trec-dl-2019,156493,0.125,0.2,512,288.0,287.5,460,230,70
msmarco-passage-trec-dl-2019,156493,0.125,0.2,1024,576.0,575.125,921,460,100
msmarco-passage-trec-dl-2019,156493,0.125,0.2,2048,1152.0,1151.375,1843,921,100
msmarco-passage-trec-dl-2019,156493,0.125,0.2,4096,2304.0,2303.75,3686,1843,100
msmarco-passage-trec-dl-2019,156493,0.125,0.2,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.2,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.25,128,72.0,72.0,144,54,16
msmarco-passage-trec-dl-2019,156493,0.125,0.25,256,144.0,144.0,288,108,22
msmarco-passage-trec-dl-2019,156493,0.125,0.25,512,288.0,288.0,576,216,71
msmarco-passage-trec-dl-2019,156493,0.125,0.25,1024,576.0,576.0,1152,432,100
msmarco-passage-trec-dl-2019,156493,0.125,0.25,2048,1152.0,1152.0,2304,864,100
msmarco-passage-trec-dl-2019,156493,0.125,0.25,4096,2304.0,2304.0,4608,1728,100
msmarco-passage-trec-dl-2019,156493,0.125,0.25,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.25,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.3,128,72.0,71.5,172,50,15
msmarco-passage-trec-dl-2019,156493,0.125,0.3,256,144.0,143.125,345,100,21
msmarco-passage-trec-dl-2019,156493,0.125,0.3,512,288.0,287.375,691,201,69
msmarco-passage-trec-dl-2019,156493,0.125,0.3,1024,576.0,575.75,1382,403,93
msmarco-passage-trec-dl-2019,156493,0.125,0.3,2048,1152.0,1151.5,2764,806,100
msmarco-passage-trec-dl-2019,156493,0.125,0.3,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.3,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.3,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.35,128,72.0,71.125,201,46,15
msmarco-passage-trec-dl-2019,156493,0.125,0.35,256,144.0,143.375,403,93,18
msmarco-passage-trec-dl-2019,156493,0.125,0.35,512,288.0,287.75,806,187,69
msmarco-passage-trec-dl-2019,156493,0.125,0.35,1024,576.0,575.5,1612,374,91
msmarco-passage-trec-dl-2019,156493,0.125,0.35,2048,1152.0,1151.125,3225,748,100
msmarco-passage-trec-dl-2019,156493,0.125,0.35,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.35,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.35,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.4,128,72.0,71.75,230,43,13
msmarco-passage-trec-dl-2019,156493,0.125,0.4,256,144.0,143.5,460,86,18
msmarco-passage-trec-dl-2019,156493,0.125,0.4,512,288.0,287.125,921,172,29
msmarco-passage-trec-dl-2019,156493,0.125,0.4,1024,576.0,575.375,1843,345,89
msmarco-passage-trec-dl-2019,156493,0.125,0.4,2048,1152.0,1151.75,3686,691,100
msmarco-passage-trec-dl-2019,156493,0.125,0.4,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.4,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.4,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.45,128,72.0,71.375,259,39,13
msmarco-passage-trec-dl-2019,156493,0.125,0.45,256,144.0,143.75,518,79,18
msmarco-passage-trec-dl-2019,156493,0.125,0.45,512,288.0,287.5,1036,158,25
msmarco-passage-trec-dl-2019,156493,0.125,0.45,1024,576.0,575.125,2073,316,88
msmarco-passage-trec-dl-2019,156493,0.125,0.45,2048,1152.0,1151.375,4147,633,100
msmarco-passage-trec-dl-2019,156493,0.125,0.45,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.45,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.45,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.5,128,72.0,72.0,288,36,11
msmarco-passage-trec-dl-2019,156493,0.125,0.5,256,144.0,144.0,576,72,18
msmarco-passage-trec-dl-2019,156493,0.125,0.5,512,288.0,288.0,1152,144,24
msmarco-passage-trec-dl-2019,156493,0.125,0.5,1024,576.0,576.0,2304,288,84
msmarco-passage-trec-dl-2019,156493,0.125,0.5,2048,1152.0,1152.0,4608,576,100
msmarco-passage-trec-dl-2019,156493,0.125,0.5,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.5,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.5,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.55,128,72.0,71.5,316,32,9
msmarco-passage-trec-dl-2019,156493,0.125,0.55,256,144.0,143.125,633,64,18
msmarco-passage-trec-dl-2019,156493,0.125,0.55,512,288.0,287.375,1267,129,24
msmarco-passage-trec-dl-2019,156493,0.125,0.55,1024,576.0,575.75,2534,259,79
msmarco-passage-trec-dl-2019,156493,0.125,0.55,2048,1152.0,1152.0,5000,527,100
msmarco-passage-trec-dl-2019,156493,0.125,0.55,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.55,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.55,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.6,128,72.0,71.125,345,28,5
msmarco-passage-trec-dl-2019,156493,0.125,0.6,256,144.0,143.375,691,57,16
msmarco-passage-trec-dl-2019,156493,0.125,0.6,512,288.0,287.75,1382,115,23
msmarco-passage-trec-dl-2019,156493,0.125,0.6,1024,576.0,575.5,2764,230,76
msmarco-passage-trec-dl-2019,156493,0.125,0.6,2048,1152.0,1152.0,5000,527,100
msmarco-passage-trec-dl-2019,156493,0.125,0.6,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.6,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.6,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.65,128,72.0,71.75,374,25,5
msmarco-passage-trec-dl-2019,156493,0.125,0.65,256,144.0,143.5,748,50,15
msmarco-passage-trec-dl-2019,156493,0.125,0.65,512,288.0,287.125,1497,100,21
msmarco-passage-trec-dl-2019,156493,0.125,0.65,1024,576.0,575.375,2995,201,69
msmarco-passage-trec-dl-2019,156493,0.125,0.65,2048,1152.0,1152.0,5000,527,100
msmarco-passage-trec-dl-2019,156493,0.125,0.65,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.65,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.65,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.7,128,72.0,71.375,403,21,4
msmarco-passage-trec-dl-2019,156493,0.125,0.7,256,144.0,143.75,806,43,13
msmarco-passage-trec-dl-2019,156493,0.125,0.7,512,288.0,287.5,1612,86,18
msmarco-passage-trec-dl-2019,156493,0.125,0.7,1024,576.0,575.125,3225,172,29
msmarco-passage-trec-dl-2019,156493,0.125,0.7,2048,1152.0,1152.0,5000,527,100
msmarco-passage-trec-dl-2019,156493,0.125,0.7,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.7,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.7,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.75,128,72.0,72.0,432,18,4
msmarco-passage-trec-dl-2019,156493,0.125,0.75,256,144.0,144.0,864,36,11
msmarco-passage-trec-dl-2019,156493,0.125,0.75,512,288.0,288.0,1728,72,18
msmarco-passage-trec-dl-2019,156493,0.125,0.75,1024,576.0,576.0,3456,144,24
msmarco-passage-trec-dl-2019,156493,0.125,0.75,2048,1152.0,1152.0,5000,527,100
msmarco-passage-trec-dl-2019,156493,0.125,0.75,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.75,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.75,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.8,128,72.0,71.5,460,14,2
msmarco-passage-trec-dl-2019,156493,0.125,0.8,256,144.0,143.125,921,28,5
msmarco-passage-trec-dl-2019,156493,0.125,0.8,512,288.0,287.375,1843,57,16
msmarco-passage-trec-dl-2019,156493,0.125,0.8,1024,576.0,575.75,3686,115,23
msmarco-passage-trec-dl-2019,156493,0.125,0.8,2048,1152.0,1152.0,5000,527,100
msmarco-passage-trec-dl-2019,156493,0.125,0.8,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.8,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.8,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.85,128,72.0,71.125,489,10,1
msmarco-passage-trec-dl-2019,156493,0.125,0.85,256,144.0,143.375,979,21,4
msmarco-passage-trec-dl-2019,156493,0.125,0.85,512,288.0,287.75,1958,43,13
msmarco-passage-trec-dl-2019,156493,0.125,0.85,1024,576.0,575.5,3916,86,18
msmarco-passage-trec-dl-2019,156493,0.125,0.85,2048,1152.0,1152.0,5000,527,100
msmarco-passage-trec-dl-2019,156493,0.125,0.85,4096,2304.0,2304.0,5000,1679,100
msmarco-passage-trec-dl-2019,156493,0.125,0.85,8192,4608.0,4608.0,5000,3983,100
msmarco-passage-trec-dl-2019,156493,0.125,0.85,10000,5625.0,5625.0,5000,5000,100
msmarco-passage-trec-dl-2019,156493,0.125,0.9,128,72.0,71.75,518,7,1
msmarco-passage-trec-dl-2019,156493,0.125,0.9,256,144.0,143.5,1036,14,2
msmarco-passage-trec-dl-2019,156493,0.125,0.9,512,288.0,287.125,2073,28,5
msmarco-passage-trec-dl-2019,156493,0.125,0.9,1024,576.0,575.375,4147,57,16
